stop_id,stop_name,stop_lat,stop_lon,stop_code,tiploc_code,stop_desc,stop_timezone,wheelchair_boarding,platform_code,parent_station,location_type
9100SUMRSTN2,Summerston (Platform 2),55.8988407,-4.2921881,SUM,SUMRSTN,,Europe/London,0,2,910GSUMRSTN,0
9100SUNBURY1,Sunbury (Platform 1),51.418324,-0.4173517,SUU,SUNBURY,,Europe/London,0,1,910GSUNBURY,0
9100SUNBURY2,Sunbury (Platform 2),51.418324,-0.4173517,SUU,SUNBURY,,Europe/London,0,2,910GSUNBURY,0
9100SUNDRTNBUS,Saunderton (Platform BUS),51.67590278377,-0.82546844579,SDR,SUNDRTN,,Europe/London,0,BUS,910GSUNDRTN,0
9100SUNNGDL1,Sunningdale (Platform 1),51.3921459,-0.6332427,SNG,SUNNGDL,,Europe/London,0,1,910GSUNNGDL,0
9100SUNNGDL2,Sunningdale (Platform 2),51.3921459,-0.6332427,SNG,SUNNGDL,,Europe/London,0,2,910GSUNNGDL,0
9100SUNYMDS1,Sunnymeads (Platform 1),51.4699493,-0.558857,SNY,SUNYMDS,,Europe/London,2,1,910GSUNYMDS,0
9100SUNYMDS2,Sunnymeads (Platform 2),51.4699493,-0.558857,SNY,SUNYMDS,,Europe/London,2,2,910GSUNYMDS,0
9100SURBITNBUS,Surbiton (Platform BUS),51.3924111,-0.3039992,SUR,SURBITN,,Europe/London,0,BUS,910GSURBITN,0
9100SURBITNDFL,Surbiton (Platform DFL),51.39245968937,-0.30395848399,SUR,SURBITN,,Europe/London,0,DFL,910GSURBITN,0
9100SUTTONBUS,Sutton (London) (Platform BUS),51.3596769,-0.1908861,SUO,SUTTON,,Europe/London,1,BUS,910GSUTTON,0
9100SUTTONC1,Sutton Common (Platform 1),51.3754313,-0.1961049,SUC,SUTTONC,,Europe/London,2,1,910GSUTTONC,0
9100SUTTONC2,Sutton Common (Platform 2),51.3754313,-0.1961049,SUC,SUTTONC,,Europe/London,2,2,910GSUTTONC,0
9100SVNOAKSBUS,Sevenoaks (Platform BUS),51.2764117,0.1819438,SEV,SVNOAKS,,Europe/London,0,BUS,910GSVNOAKS,0
