stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
ALDB337,,ALDERSBROOK SIGNAL 337/354,,51.5547738241766,0.0550660149773977
ALDBUCS,XAK,ALDERSBROOK UP CARR SDGS,,51.5570455002117,0.0623882467780408
ALDEDGE,ALD,Alderley Edge Rail Station,,53.30378012757,-2.23679906922
ALDEDNS,,ALDERLEY EDGE DOWN SDG,,53.3022395969275,-2.23757909021027
ALDEUPS,,ALDERLEY EDGE UP SDG,,53.3018327107046,-2.23762985516841
ALDGEST,,ALDGATE EAST UND,,51.5147884854255,-0.0731173726422734
ALDGTLT,ZAD,ALDGATE LT,,,
ALDM810,,ALDERMASTON SIGNAL R810,,,
ALDMCE,,TIP,,51.4026949800434,-1.12974763941795
ALDMSPS,,BR PADWORTH SIDING,,51.4030554367243,-1.12996297672329
ALDMSTN,AMT,Aldermaston Rail Station,,51.40196169823,-1.1374238096
ALDR371,,ALDERSHOT SIGNAL WK1371,,51.247616282374,-0.755539363087151
ALDR378,,ALDERSHOT SIGNAL WK1378,,51.2433416316545,-0.764308674777975
ALDRS15,,ALDERSHOT SIGNAL AS15,,51.2475238202986,-0.755900405724649
ALDRS16,,Aldershot Sig. As16,,51.2471702,-0.7571171
ALDRSHT,AHT,Aldershot Rail Station,,51.24641837711,-0.75985979888
ALDRSJN,,ALDERSHOT NORTH JN,,51.2600896722091,-0.732828862847066
ALDRSJS,,ALDERSHOT SOUTH JN,,51.2588075379712,-0.723906294545146
ALDTON,AGT,Aldrington Rail Station,,50.83638383869,-0.18382143408
ALDW077,,ALDWARKE JN S1077,,53.4572662911811,-1.32366019745373
ALDW109,,SHEFFIELD SIG S1092,,53.4490018976051,-1.33413268790315
ALDW721,,ROUNDWOOD CHORD,,53.4589537570743,-1.32129662471958
ALDW738,,ALDWARKE JUNCTION,,53.4490229366772,-1.33409421611242
ALDWGBF,,ALDWARKE UES GBRF,,53.4584058432536,-1.32225668208339
ALDWLOS,,ALDWARKE LIMIT OF SHUNT,,53.4462801351248,-1.33796614945358
